experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,ecies_p256_wrap_32b_doc_key,6,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.403269,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,7,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.420302,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,8,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.3736,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,9,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.403937,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,10,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.371291,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.684044,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.623904,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.754629,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.648231,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.316205,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
